site,path,status,exit_code,http_code,final_url,redirects,error,statuses,locations
kooistrafeenstra.nl,/st-beheer/,ERROR,6,000,http://kooistrafeenstra.nl/st-beheer/,0,Could not resolve host: kooistrafeenstra.nl,,
kooistrafeenstra.nl,/wp-admin/,ERROR,6,000,http://kooistrafeenstra.nl/wp-admin/,0,Could not resolve host: kooistrafeenstra.nl,,
taplite.com,/st-beheer/,ERROR,6,000,http://taplite.com/st-beheer/,0,Could not resolve host: taplite.com,,
taplite.com,/wp-admin/,ERROR,6,000,http://taplite.com/wp-admin/,0,Could not resolve host: taplite.com,,
bregbreg.nl,/st-beheer/,ERROR,6,000,http://bregbreg.nl/st-beheer/,0,Could not resolve host: bregbreg.nl,,
bregbreg.nl,/wp-admin/,ERROR,6,000,http://bregbreg.nl/wp-admin/,0,Could not resolve host: bregbreg.nl,,
vanlithbouw.nl,/st-beheer/,ERROR,6,000,http://vanlithbouw.nl/st-beheer/,0,Could not resolve host: vanlithbouw.nl,,
vanlithbouw.nl,/wp-admin/,ERROR,6,000,http://vanlithbouw.nl/wp-admin/,0,Could not resolve host: vanlithbouw.nl,,
me-2.nl,/st-beheer/,ERROR,6,000,http://me-2.nl/st-beheer/,0,Could not resolve host: me-2.nl,,
me-2.nl,/wp-admin/,ERROR,6,000,http://me-2.nl/wp-admin/,0,Could not resolve host: me-2.nl,,
dycotrade.com,/st-beheer/,ERROR,6,000,http://dycotrade.com/st-beheer/,0,Could not resolve host: dycotrade.com,,
dycotrade.com,/wp-admin/,ERROR,6,000,http://dycotrade.com/wp-admin/,0,Could not resolve host: dycotrade.com,,
stoommachinemuseum.nl,/st-beheer/,ERROR,6,000,http://stoommachinemuseum.nl/st-beheer/,0,Could not resolve host: stoommachinemuseum.nl,,
stoommachinemuseum.nl,/wp-admin/,ERROR,6,000,http://stoommachinemuseum.nl/wp-admin/,0,Could not resolve host: stoommachinemuseum.nl,,
marksmen.nl,/st-beheer/,ERROR,6,000,http://marksmen.nl/st-beheer/,0,Could not resolve host: marksmen.nl,,
