site,path,status,exit_code,http_code,final_url,redirects,error,statuses,locations
aica-summit.com,/st-beheer/,OK,0,200,https://aica-summit.com/st-beheer/,1,,301 > 200,https://aica-summit.com/st-beheer/
aica-summit.com,/wp-admin/,OK_BLOCKED,0,403,https://aica-summit.com/wp-admin/,1,,301 > 403,https://aica-summit.com/wp-admin/
axplain.nl,/st-beheer/,OK,0,200,https://axplain.nl/st-beheer/,1,,301 > 200,https://axplain.nl/st-beheer/
axplain.nl,/wp-admin/,OK_BLOCKED,0,403,https://axplain.nl/wp-admin/,1,,301 > 403,https://axplain.nl/wp-admin/
becam.nl,/st-beheer/,OK,0,200,https://becam.nl/st-beheer/,1,,301 > 200,https://becam.nl/st-beheer/
becam.nl,/wp-admin/,OK_BLOCKED,0,403,https://becam.nl/wp-admin/,1,,301 > 403,https://becam.nl/wp-admin/
bierfabriek.com,/st-beheer/,CHECK,0,200,https://www.bierfabriek.com/,2,,301 > 302 > 200,https://bierfabriek.com/st-beheer/ | https://www.bierfabriek.com/
bierfabriek.com,/wp-admin/,WP_ADMIN_REDIRECT,0,200,https://www.bierfabriek.com/,2,,301 > 302 > 200,https://bierfabriek.com/wp-admin/ | https://www.bierfabriek.com/
bijoost.nl,/st-beheer/,OK,0,200,https://bijoost.nl/st-beheer/,1,,301 > 200,https://bijoost.nl/st-beheer/
bijoost.nl,/wp-admin/,OK_BLOCKED,0,403,https://bijoost.nl/wp-admin/,1,,301 > 403,https://bijoost.nl/wp-admin/
bit4u.nl,/st-beheer/,OK,0,200,https://bit4u.nl/st-beheer/,1,,301 > 200,https://bit4u.nl/st-beheer/
bit4u.nl,/wp-admin/,OK_BLOCKED,0,403,https://bit4u.nl/wp-admin/,1,,301 > 403,https://bit4u.nl/wp-admin/
boltcab.io,/st-beheer/,OK,0,200,https://boltcab.io/st-beheer/,1,,301 > 200,https://boltcab.io/st-beheer/
boltcab.io,/wp-admin/,OK_BLOCKED,0,403,https://boltcab.io/wp-admin/,1,,301 > 403,https://boltcab.io/wp-admin/
bouwbrug.nl,/st-beheer/,OK,0,200,https://bouwbrug.nl/st-beheer/,1,,301 > 200,https://bouwbrug.nl/st-beheer/
bouwbrug.nl,/wp-admin/,OK_BLOCKED,0,403,https://bouwbrug.nl/wp-admin/,1,,301 > 403,https://bouwbrug.nl/wp-admin/
bregbreg.nl,/st-beheer/,OK,0,200,https://bregbreg.nl/st-beheer/,1,,301 > 200,https://bregbreg.nl/st-beheer/
bregbreg.nl,/wp-admin/,OK_BLOCKED,0,403,https://bregbreg.nl/wp-admin/,1,,301 > 403,https://bregbreg.nl/wp-admin/
brynx.nl,/st-beheer/,OK,0,200,https://brynx.nl/st-beheer/,1,,301 > 200,https://brynx.nl/st-beheer/
brynx.nl,/wp-admin/,OK_BLOCKED,0,403,https://brynx.nl/wp-admin/,1,,301 > 403,https://brynx.nl/wp-admin/
buysmankruiden.nl,/st-beheer/,OK,0,200,https://buysmankruiden.nl/st-beheer/,1,,302 > 200,https://buysmankruiden.nl/st-beheer/
buysmankruiden.nl,/wp-admin/,OK_BLOCKED,0,403,http://buysmankruiden.nl/wp-admin/,0,,403,
bvscout.nl,/st-beheer/,OK,0,200,https://bvscout.nl/st-beheer/,1,,301 > 200,https://bvscout.nl/st-beheer/
bvscout.nl,/wp-admin/,OK_BLOCKED,0,403,https://bvscout.nl/wp-admin/,1,,301 > 403,https://bvscout.nl/wp-admin/
chatlicense.com,/st-beheer/,OK,0,200,https://chatlicense.com/st-beheer/,1,,301 > 200,https://chatlicense.com/st-beheer/
chatlicense.com,/wp-admin/,OK_BLOCKED,0,403,https://chatlicense.com/wp-admin/,1,,301 > 403,https://chatlicense.com/wp-admin/
cocorico.nl,/st-beheer/,CHECK,0,404,https://www.cocorico.nl/st-beheer/,2,,301 > 302 > 404,https://cocorico.nl/st-beheer/ | https://www.cocorico.nl/st-beheer/
cocorico.nl,/wp-admin/,WP_ADMIN_REDIRECT,0,200,https://www.cocorico.nl/wp-login.php?redirect_to=https%3A%2F%2Fcocorico.nl%2Fwp-admin%2F%3Fdoing_wp_cron%3D1783667881.8396201133728027343750&reauth=1,3,,301 > 302 > 302 > 200,https://cocorico.nl/wp-admin/ | /wp-admin/?doing_wp_cron=1783667881.8396201133728027343750 | https://www.cocorico.nl/wp-login.php?redirect_to=https%3A%2F%2Fcocorico.nl%2Fwp-admin%2F%3Fdoing_wp_cron%3D1783667881.8396201133728027343750&reauth=1
dataspark.nl,/st-beheer/,OK,0,200,https://dataspark.nl/st-beheer/,1,,301 > 200,https://dataspark.nl/st-beheer/
dataspark.nl,/wp-admin/,OK_BLOCKED,0,403,https://dataspark.nl/wp-admin/,1,,301 > 403,https://dataspark.nl/wp-admin/
deraadreinders.nl,/st-beheer/,OK,0,200,https://deraadreinders.nl/st-beheer/,1,,301 > 200,https://deraadreinders.nl/st-beheer/
deraadreinders.nl,/wp-admin/,OK_BLOCKED,0,403,https://deraadreinders.nl/wp-admin/,1,,301 > 403,https://deraadreinders.nl/wp-admin/
deslimmechef.nl,/st-beheer/,CHECK,0,404,https://deslimmechef.nl/st-beheer/,1,,301 > 404,https://deslimmechef.nl/st-beheer/
deslimmechef.nl,/wp-admin/,WP_ADMIN_REDIRECT,0,200,https://deslimmechef.nl/wp-login.php?redirect_to=https%3A%2F%2Fdeslimmechef.nl%2Fwp-admin%2F&reauth=1,2,,301 > 302 > 200,https://deslimmechef.nl/wp-admin/ | https://deslimmechef.nl/wp-login.php?redirect_to=https%3A%2F%2Fdeslimmechef.nl%2Fwp-admin%2F&reauth=1
dianatromp.nl,/st-beheer/,CHECK,0,404,https://dianatromp.nl/st-beheer/,1,,301 > 404,https://dianatromp.nl/st-beheer/
